id,value
id_0,26.706311859868638
id_1,61.345569952545915
id_2,20.549515255010057
id_3,28.42531168159646
id_4,10.49211481319152
id_5,35.38248506300343
id_6,39.40000147356809
id_7,16.509689847999997
id_8,47.500267890490534
id_9,33.19856713655815
id_10,38.65917207481915
id_11,58.15076370171536
id_12,36.945626658200474
id_13,40.48928440886994
id_14,27.184904758680943
id_15,12.819661149228878
id_16,52.79872782184698
id_17,22.307531860271883
id_18,19.03506517502389
id_19,19.545083095659628
id_20,14.913389416249828
id_21,27.736339031861874
id_22,36.8904626759608
id_23,9.472521019500732
id_24,57.750680989572885
id_25,44.06601989107659
id_26,28.243865755987276
id_27,9.50875999383613
id_28,29.05642063681442
id_29,35.401477269976056
id_30,18.2903636745478
id_31,11.931956674665521
id_32,16.745701463349256
id_33,6.569260719868576
id_34,18.206778347294314
id_35,39.41139639062186
id_36,20.07982029113056
id_37,28.667253942874556
id_38,6.5923836833364735
id_39,59.48441790425886
id_40,46.718582587028116
id_41,17.16889259882292
id_42,49.51777278977117
id_43,18.28981039522905
id_44,43.42045347341431
id_45,51.148832630173196
id_46,61.32811963316962
id_47,39.87748082587279
id_48,50.681987013960104
id_49,41.37269660081607
id_50,30.403894571893535
id_51,24.520920420623735
id_52,41.34930745578535
id_53,25.510326762264324
id_54,38.28152957168506
id_55,39.77234253930009
id_56,24.883985110577143
id_57,21.834085804437947
id_58,37.75303190032344
id_59,31.4898601577013
id_60,15.159997976616648
id_61,23.99334388008689
id_62,31.26903864486151
id_63,54.23833838245231
id_64,48.603669497607875
id_65,26.629052511944817
id_66,40.671838653731356
id_67,54.42439170684493
id_68,27.971586741068965
id_69,38.43032946448933
id_70,64.34411840402804
id_71,52.90348991753088
id_72,43.3735073715253
id_73,11.549017771550005
id_74,12.11716444588835
id_75,35.53659763609502
id_76,60.19073417614962
id_77,3.5842278698217536
id_78,44.70852122990128
id_79,39.874877302048716
id_80,8.11325754694683
id_81,22.06448638634158
id_82,8.127561681081808
id_83,34.1067181101781
id_84,10.72792428283929
id_85,5.6567542670484015
id_86,16.35247366223492
id_87,11.980296794107048
id_88,13.351587519771403
id_89,27.33339577478273
id_90,30.286304715578467
id_91,11.488923748982405
id_92,13.786962568443005
id_93,8.093133974304656
id_94,36.144544710422124
id_95,16.318046451557056
id_96,15.625582151121762
id_97,8.84358736354517
id_98,10.846744947102419
id_99,4.335714099474456
id_100,13.131147545848489
id_101,18.55249064488991
id_102,11.232219235066513
id_103,5.593416474651194
id_104,14.193145103613649
id_105,36.76465137772836
id_106,27.359784716146926
id_107,8.51717965983838
id_108,16.967467667752715
id_109,16.737140291443833
id_110,14.040983453315125
id_111,17.112076805922882
id_112,13.463076546823604
id_113,28.147484358091237
id_114,22.368469506416663
id_115,15.363641300092077
id_116,9.918049677094793
id_117,44.01034445117427
id_118,29.381443971312986
id_119,1.8452540840782854
id_120,2.443112703524161
id_121,11.993888823556944
id_122,15.82555597883714
id_123,15.445938906365381
id_124,6.667168131869711
id_125,26.388186401776206
id_126,21.741484570298415
id_127,13.597103620716418
id_128,19.9229566170731
id_129,17.932272706719186
id_130,4.426594451394888
id_131,36.024339122878416
id_132,14.738392652886105
id_133,27.266330929114854
id_134,23.70635891111284
id_135,20.874949039429012
id_136,10.450329682535578
id_137,20.051579499473153
id_138,76.76958375283228
id_139,63.88235290210526
id_140,27.292642149858647
id_141,17.162805655808558
id_142,25.05751161797188
id_143,8.441893918310832
id_144,11.652700725718915
id_145,10.6067607016195
id_146,21.46641469490464
id_147,7.753020591672459
id_148,13.928679962696727
id_149,17.098261706799306
id_150,50.40469516502223
id_151,21.07438261940373
id_152,24.377603886815816
id_153,15.52076989284312
id_154,15.034138828517719
id_155,27.745486421967325
id_156,21.319071703508346
id_157,34.04379827629822
id_158,3.5711537060322405
id_159,19.506763739487386
id_160,43.01377545253554
id_161,18.739020154530973
id_162,55.01974776480341
id_163,19.518758307627532
id_164,36.65330304805187
id_165,24.60742927284724
id_166,21.358057798626724
id_167,1.422706423415023
id_168,66.12849818467075
id_169,18.392813063988076
id_170,17.874957911611983
id_171,67.54637848841341
id_172,20.938856560504913
id_173,2.778317224318272
id_174,24.00642217110214
id_175,2.4448158650103364
id_176,6.7066485347621425
id_177,18.860073785741694
id_178,20.491696467144394
id_179,21.055124694229615
id_180,42.46904468728927
id_181,27.617431459538228
id_182,29.216361586582973
id_183,12.812281691619773
id_184,8.898208112004557
id_185,41.22786126040453
id_186,36.49127210142795
id_187,32.79024648041764
id_188,16.31265794797089
id_189,21.945225494046664
id_190,14.60682984291217
id_191,14.806446874646358
id_192,33.03876920666415
id_193,77.2511828490445
id_194,29.994535045103394
id_195,11.734898933226678
id_196,61.11518004703599
id_197,15.536269727393123
id_198,19.771605890535692
id_199,23.457673513186613
id_200,124.41132391401868
id_201,26.34437074390006
id_202,57.95620010648102
id_203,5.335017795889428
id_204,62.158476000986596
id_205,34.980066092296966
id_206,17.081749794038494
id_207,14.54612545949352
id_208,63.737113141557565
id_209,13.989088839685639
id_210,28.813079842584333
id_211,72.13797995537973
id_212,20.877895221055542
id_213,116.21244306103902
id_214,39.55846341235694
id_215,83.03786766121698
id_216,91.42642800578973
id_217,70.1526358093635
id_218,29.07523632300756
id_219,19.742540637663755
id_220,31.719073319798873
id_221,55.070736582428154
id_222,28.57752523979521
id_223,40.11063168655071
id_224,43.852445125730455
id_225,7.851557179741542
id_226,4.568170370960518
id_227,69.05134293554285
id_228,27.953443239703684
id_229,1.9749244393090977
id_230,40.05622576724995
id_231,15.262998344962881
id_232,21.669290673055446
id_233,8.182633500757163
id_234,12.401939739390325
id_235,22.030922536240745
id_236,12.918223609065404
id_237,0.6378602965810027
id_238,21.943686438668475
id_239,1.3227936614600606
